,name,ratings,review_count,ctype,years,hq,employees
2699,Ernst & Young,3.7,(8k Reviews),Private,21 years old,London + 80 more,10k-50k Employees (India)
2700,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
2701,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
2702,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
2703,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
2704,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
2705,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
2706,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
2707,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
2708,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
2709,Genpact,4.0,(22k Reviews),Public,26 years old,"New York,New York + 75 more",1 Lakh+ Employees (India)
2710,HCLTech,3.8,(21.5k Reviews),Public,32 years old,"Noida,Uttar Pradesh + 147 more",1 Lakh+ Employees (India)
2711,Axis Bank,3.9,(18.6k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1194 more",50k-1 Lakh Employees (India)
2712,Concentrix Corpo...,4.0,(17.4k Reviews),Public,40 years old,"Fremont,California + 77 more",10k-50k Employees (India)
2713,IBM,4.1,(17.3k Reviews),Public,112 years old,"Armonk,New York + 127 more",50k-1 Lakh Employees (India)
2714,Reliance Jio,4.0,(16.8k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 1056 more",50k-1 Lakh Employees (India)
2715,Amazon,4.2,(16.6k Reviews),Public,29 years old,"Seattle,Washington + 381 more",1 Lakh+ Employees (India)
2716,Larsen & Toubro ...,4.0,(16k Reviews),Public,85 years old,"Mumbai,Maharashtra + 558 more",1 Lakh+ Employees (India)
2717,HDB Financial Se...,4.0,(15.1k Reviews),Private,16 years old,"Ahmedabad,Gujrat + 859 more",10k-50k Employees (India)
2718,Reliance Retail,4.0,(14.1k Reviews),Private,17 years old,"Navi Mumbai,Maharashtra + 830 more",1 Lakh+ Employees (India)
2719,Vodafone Idea,4.2,(13.9k Reviews),Public,5 years old,"Gandhinagar,Gujrat + 589 more",10k-50k Employees (India)
2720,Teleperformance,3.6,(13.9k Reviews),Private,45 years old,Paris + 127 more,10k-50k Employees (India)
2721,Deloitte,4.0,(11.7k Reviews),Private,178 years old,"London,United Kingdom + 138 more",50k-1 Lakh Employees (India)
2722,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,20 years old,"Mumbai,Maharashtra + 500 more",10k-50k Employees (India)
2723,BYJU'S,3.2,(11.3k Reviews),Private,12 years old,"Bangalore,Karnataka + 282 more",1k-5k Employees (India)
2724,Reliance Industr...,4.0,(11k Reviews),Public,50 years old,"Navi Mumbai,Maharashtra + 557 more",1 Lakh+ Employees (Global)
2725,Bharti Airtel,4.1,(10.3k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 570 more",10k-50k Employees (India)
2726,Tata Motors,4.2,(9.6k Reviews),Public,78 years old,"Pune,Maharashtra + 401 more",50k-1 Lakh Employees (India)
2727,Flipkart,4.1,(8.3k Reviews),Public,16 years old,"Bangalore,Karnataka + 481 more",10k-50k Employees (India)
2728,WNS,3.6,(8k Reviews),Private,27 years old,"Mumbai,Maharashtra + 25 more",10k-50k Employees (India)
2729,Ernst & Young,3.7,(8k Reviews),Private,21 years old,London + 80 more,10k-50k Employees (India)
2730,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
2731,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
2732,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
2733,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
2734,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
2735,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
2736,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
2737,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
2738,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
